Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
St. Matthew's Episcopal Church,Queens,7/25/01,01NR01759,-73.84922411,40.6961578,POINT (-73.8492241073 40.6961578033),church
South Congregational Church,Kings,11/4/82,90NR01333,-73.99653519,40.68205961,POINT (-73.9965351898 40.6820596113),church
Elmendorf Reformed Church,New York,4/27/10,09NR06085,-73.93823899,40.80167357,POINT (-73.9382389934 40.8016735694),church
"Sage, Russell, Memorial Church",Queens,9/22/86,90NR01591,-73.7470899,40.60966879,POINT (-73.747089895 40.6096687939),church
St. PeterΓÇÖs Protestant Episcopal Church,Kings,11/8/21,21NR00037,-73.98466873,40.68792671,POINT (-73.9846687252 40.6879267106),church
John Street Methodist Church,New York,6/4/73,90NR00754,-74.00814751,40.70910478,POINT (-74.0081475112 40.7091047776),church
Reformed Church of Melrose,Bronx,5/15/17,17NR00002,-73.91362452,40.82047034,POINT (-73.9136245168 40.8204703409),church
Edgehill Church of Spuyten Duyvil,Bronx,10/29/82,90NR00066,-73.92044038,40.8803059,POINT (-73.9204403799 40.8803058957),church
Church of the Holy Apostles,New York,4/26/72,90NR00686,-73.99881948,40.74927934,POINT (-73.9988194816 40.7492793372),church
Church of St. Andrew (Episcopal),Richmond,10/6/00,94NR00546,-74.14740152,40.57278432,POINT (-74.1474015222 40.5727843167),church
Our Lady of Lourdes Roman Catholic Church,New York,,94NR00529,-73.94818766,40.82322462,POINT (-73.9481876609 40.8232246161),church
Grace Episcopal Church Complex,Queens,9/8/83,90NR01584,-73.80135746,40.70404575,POINT (-73.8013574636 40.7040457451),church
Church of the Ascension (Protestant Episcopal),New York,12/23/87,90NR02844,-73.99571888,40.73377403,POINT (-73.9957188764 40.7337740278),church
Trinity Church and Graveyard,New York,12/8/76,90NR00933,-74.01205616,40.70815597,POINT (-74.0120561574 40.7081559711),church
Sea and Land Church,New York,4/9/80,90NR00654,-73.99480476,40.71322168,POINT (-73.9948047633 40.7132216795),church
Calvary Presbyterian Church,Richmond,11/21/02,02NR04980,-74.11268493,40.63506268,POINT (-74.1126849324 40.6350626781),church
St. Cecilia's Church and Convent,New York,2/2/84,90NR00617,-73.94727055,40.79236048,POINT (-73.9472705502 40.7923604779),church
United Methodist Church of St. Paul and St. Andrew Complex,New York,,91NR00273,-73.97729225,40.78898469,POINT (-73.9772922524 40.788984694),church
The Church-in-the-Gardens,Queens,12/11/09,09NR06050,-73.84129658,40.71644378,POINT (-73.8412965809 40.7164437843),church
West Side Unitarian Church ΓÇô Congregation Ramath Orah,New York,9/17/15,15NR00056,-73.96610669,40.80365487,POINT (-73.9661066865 40.8036548743),church
"Fourth Church of Christ, Scientist",New York,8/30/11,11NR06231,-73.9376832,40.85365031,POINT (-73.9376831968 40.8536503059),church
St. Jean Baptiste Church and Rectory,New York,4/23/80,90NR00681,-73.95988475,40.77258417,POINT (-73.9598847527 40.77258417),church
Rugby Congregational Church,Kings,8/17/20,19NR00068,-73.93095637,40.65031704,POINT (-73.930956373 40.6503170418),church
St. Anselm's Roman Catholic Church Complex,Bronx,2/5/14,13NR06497,-73.90564535,40.81619954,POINT (-73.9056453526 40.8161995355),church
Riverside Church,New York,12/12/12,12NR06373,-73.96308565,40.81176388,POINT (-73.9630856459 40.8117638787),church
Trinity Lutheran Church,Queens,5/29/08,08NR05837,-73.9192716,40.76178268,POINT (-73.9192716007 40.7617826754),church
Trinity Evangelical Lutheran Church of Manhattan,New York,9/16/09,09NR06002,-73.96810552,40.7962129,POINT (-73.9681055233 40.7962129003),church
Church of the Transfiguration and Rectory,New York,6/4/73,90NR00753,-73.98594544,40.74517373,POINT (-73.9859454387 40.7451737323),church
First Reformed Church,Queens,4/16/80,90NR01569,-73.80172105,40.7024711,POINT (-73.8017210495 40.7024710994),church
St. Luke's Protestant Episcopal Church,Kings,9/16/82,90NR01311,-73.96720568,40.68268923,POINT (-73.96720568 40.6826892338),church
New York Presbyterian Church,New York,6/3/82,90NR00752,-73.94639942,40.81092329,POINT (-73.9463994197 40.8109232937),church
Zion-St. Mark's Evangelical Lutheran Church,New York,3/23/95,93NR00502,-73.95104756,40.77612512,POINT (-73.9510475554 40.7761251214),church
St. Matthias RC Church Complex,Queens,9/4/12,12NR06354,-73.90253049,40.70215718,POINT (-73.9025304947 40.7021571791),church
Bay Ridge United Methodist Church,Kings,9/9/99,99NR01471,-74.02456731,40.63362797,POINT (-74.0245673123 40.6336279738),church
St. Ann's Church Complex,Bronx,4/16/80,90NR00036,-73.91734937,40.80844986,POINT (-73.917349374 40.8084498649),church
St. Paul's Memorial Church and Rectory,Richmond,11/21/80,90NR01043,-74.07888455,40.63206956,POINT (-74.0788845532 40.6320695635),church
First African Methodist Episcopal Church: Bethel,New York,11/9/18,17NR00116,-73.94089671,40.81134225,POINT (-73.9408967086 40.8113422526),church
Church of the Immaculate Conception and Clergy Houses,New York,3/28/80,90NR00641,-73.9821527,40.73069862,POINT (-73.982152695 40.7306986233),church
Bay Ridge Reformed Church,Kings,8/17/20,19NR00103,-74.03154285,40.62858734,POINT (-74.03154285 40.6285873399),church
Marble Collegiate Reformed Church,New York,4/9/80,90NR00653,-73.9870947,40.74566498,POINT (-73.9870947038 40.7456649831),church
St. Peter's Roman Catholic Church,New York,4/23/80,90NR00682,-74.00955548,40.71237485,POINT (-74.0095554803 40.7123748548),church
New Utrecht Reformed Church Complex (Boundary Increase),Kings,3/5/01,98NR01291,-74.00598897,40.61078099,POINT (-74.0059889674 40.6107809907),church
First Reformed Church of College Point,Queens,11/16/18,18NR00058,-73.84900193,40.78623109,POINT (-73.8490019296 40.7862310931),church
Andrews United Methodist Church,Kings,1/22/92,91NR00174,-73.87695223,40.68533125,POINT (-73.8769522273 40.6853312452),church
Church of the Resurrection,Queens,3/7/03,02NR05012,-73.83248746,40.70235565,POINT (-73.8324874551 40.7023556524),church
Greenwood Baptist Church,Kings,2/16/16,15NR00069,-73.98016076,40.66906953,POINT (-73.9801607581 40.6690695286),church
Tremont Baptist Church,Bronx,10/16/09,08NR05908,-73.90232475,40.84822497,POINT (-73.9023247472 40.8482249708),church
Christ Church Complex,Bronx,9/8/83,90NR00052,-73.90635673,40.89904647,POINT (-73.9063567321 40.8990464682),church
Church Missions House,New York,6/3/82,90NR00746,-73.98671522,40.73925594,POINT (-73.9867152195 40.7392559407),church
Lewis Avenue Congregational Church,Kings,1/24/20,18NR00049,-73.93538194,40.68614259,POINT (-73.9353819439 40.6861425943),church
St. Alban's Episcopal Church,Richmond,10/29/82,90NR01040,-74.1605174,40.54388579,POINT (-74.160517397 40.5438857886),church
South Bushwick Reformed Protestant Dutch Church Complex,Kings,11/4/82,90NR01332,-73.92604397,40.69435683,POINT (-73.9260439736 40.6943568294),church
St. James' Episcopal Church and Parish House,Bronx,9/30/82,90NR00063,-73.89953696,40.864045,POINT (-73.8995369587 40.8640449959),church
Church of the Incarnation and Parish House,New York,7/8/82,90NR00775,-73.98199301,40.74848185,POINT (-73.9819930132 40.7484818523),church
North Presbyterian Church,New York,2/5/14,13NR06494,-73.94438984,40.83247306,POINT (-73.9443898381 40.8324730578),church
St. George's Church,Queens,3/7/08,95NR00810,-73.83119881,40.76035583,POINT (-73.8311988065 40.7603558261),church
St. Michael's Church Complex,New York,11/15/96,96NR01080,-73.96928585,40.79646197,POINT (-73.9692858485 40.7964619722),church
St. Bartholomew's Church and Community House,New York,4/16/80,90NR00662,-73.97315203,40.75725789,POINT (-73.9731520331 40.7572578877),church
"Judson Memorial Church, Campanile, and Judson Hall",New York,10/16/74,90NR00882,-73.99841778,40.73021837,POINT (-73.9984177811 40.7302183729),church
German Evangelical Lutheran St. John's Church,Kings,1/31/19,18NR00078,-73.94274984,40.7112261,POINT (-73.9427498441 40.7112260955),church
Bushwick Avenue Central Methodist Episcopal Church,Kings,3/27/17,15NR00134,-73.91787234,40.68975263,POINT (-73.9178723363 40.6897526343),church
Plymouth Church of the Pilgrims,Kings,10/15/66,90NR01326,-73.99349593,40.69942874,POINT (-73.9934959323 40.6994287443),church
Cuyler Presbyterian Church,Kings,3/23/01,00NR01718,-73.98651609,40.68654669,POINT (-73.9865160872 40.6865466892),church
Holy Cross African Orthodox Church Pro-Cathedral,New York,11/9/17,17NR00066,-73.94475316,40.81055348,POINT (-73.9447531582 40.8105534776),church
Church of St. Mary the Virgin Complex,New York,4/16/90,91NR00067,-73.98360669,40.75835847,POINT (-73.9836066857 40.7583584662),church
Flatlands Dutch Reformed Church,Kings,8/30/79,90NR01297,-73.93651474,40.62384257,POINT (-73.9365147401 40.6238425722),church
Riverdale Presbyterian Church Complex,Bronx,10/14/82,90NR00064,-73.90894653,40.89587001,POINT (-73.9089465256 40.8958700101),church
St. Ignatius of Antioch Episcopal Church,New York,11/30/99,99NR01495,-73.97718598,40.78924599,POINT (-73.9771859808 40.7892459925),church
"Holy Trinity Church, St. Christopher House and Parsonage",New York,5/30/80,90NR00732,-73.94972702,40.77847937,POINT (-73.9497270167 40.7784793712),church
First Hungarian Reformed Church,New York,8/31/00,00NR01655,-73.95852867,40.76613497,POINT (-73.9585286685 40.7661349701),church
Church of St. Vincent Ferrer and Priory,New York,6/14/84,90NR00756,-73.96475533,40.7661102,POINT (-73.9647553265 40.7661102006),church
Emmanuel Baptist Church,Kings,12/16/77,90NR01348,-73.96526379,40.68856802,POINT (-73.9652637901 40.6885680174),church
St. George's Protestant Episcopal Church,Kings,9/8/83,90NR01304,-73.94778877,40.68631363,POINT (-73.9477887739 40.6863136295),church
St. Stephen's United Methodist Church,Bronx,2/8/12,11NR06263,-73.90903863,40.87691915,POINT (-73.909038629 40.8769191454),church
Brighton Heights Reformed Church,Richmond,6/3/82,90NR01025,-74.07836751,40.64173025,POINT (-74.0783675108 40.6417302549),church
Old First Reformed Church,Kings,4/1/98,97NR01247,-73.97663219,40.67356647,POINT (-73.9766321892 40.6735664654),church
Reformed Church of Newtown Complex,Queens,4/23/80,90NR01572,-73.87738423,40.73928559,POINT (-73.8773842316 40.7392855874),church
Reformed Church on Staten Island,Richmond,1/20/05,04NR05269,-74.13271651,40.63969157,POINT (-74.1327165117 40.6396915729),church
St. Paul's Protestant Episcopal Church,Kings,12/21/89,90NR03153,-73.99798836,40.68169057,POINT (-73.9979883648 40.6816905719),church
Saint Luke's Episcopal Church,Queens,11/10/10,10NR06147,-73.84463104,40.71401348,POINT (-73.8446310392 40.714013476),church
Church of the Transfiguration,New York,4/16/80,90NR00658,-73.9990829,40.71471494,POINT (-73.9990829018 40.7147149379),church
New England Congregational Church and Rectory,Kings,9/15/83,90NR01308,-73.96188112,40.70870488,POINT (-73.9618811201 40.7087048848),church
Woodrow Methodist Church,Richmond,10/29/82,90NR01041,-74.2010676,40.54333074,POINT (-74.2010676032 40.5433307429),church
St. James Church,New York,7/24/72,90NR00795,-73.99851466,40.71223636,POINT (-73.9985146644 40.7122363588),church
United States Post Office-Church Street Station,New York,5/11/89,90NR00712,-74.0106422,40.71274316,POINT (-74.0106422028 40.7127431605),church
University Club,New York,4/16/80,90NR00663,-73.9756744,40.7614815,POINT (-73.9756743982 40.7614814953),club
Racquet Court Club Building,New York,,91NR00264,-73.99095261,40.74482272,POINT (-73.9909526131 40.7448227234),club
Knickerbocker Field Club,Kings,10/29/82,90NR01328,-73.96349727,40.64772862,POINT (-73.9634972701 40.6477286224),club
Level Club,New York,4/9/84,90NR00652,-73.98295262,40.78031349,POINT (-73.9829526241 40.7803134856),club
Old Colony Club,New York,4/23/80,90NR00677,-73.98490043,40.74558234,POINT (-73.984900434 40.7455823366),club
Lamb's Club,New York,6/3/82,90NR00750,-73.98458693,40.75650269,POINT (-73.9845869255 40.7565026901),club
Old Grolier Club,New York,4/23/80,90NR00678,-73.98329065,40.74647157,POINT (-73.9832906503 40.7464715737),club
Engineering Societies' Building and Engineers' Club,New York,8/30/07,07NR05737,-73.98370014,40.75256382,POINT (-73.9837001392 40.7525638212),club
Harvard Club of New York City,New York,3/28/80,90NR00644,-73.98116228,40.75570736,POINT (-73.9811622773 40.7557073605),club
Fort Totten Officers' Club,Queens,3/17/86,90NR01567,-73.77769188,40.79217497,POINT (-73.7776918792 40.7921749733),club
"Clarke, Thomas B., Residence (Collectors Club Building)",New York,,94NR00527,-73.98207948,40.74803201,POINT (-73.9820794805 40.7480320094),club
New York Yacht Club,New York,10/29/82,90NR00897,-73.98157609,40.75572652,POINT (-73.9815760907 40.7557265172),club
Salmagundi Club,New York,7/25/74,90NR00797,-73.99445315,40.73426135,POINT (-73.9944531483 40.7342613529),club
Lincoln Club,Kings,1/27/83,90NR01263,-73.95935964,40.6832197,POINT (-73.9593596371 40.6832196962),club
The Women's National Republican Club,New York,2/27/13,12NR06397,-73.97732093,40.75965746,POINT (-73.977320932 40.7596574622),club
Racquet and Tennis Club Building,New York,7/13/83,90NR00779,-73.97321712,40.75890856,POINT (-73.9732171206 40.758908556),club
Civic Club,New York,9/16/82,90NR00848,-73.97614795,40.74520926,POINT (-73.9761479496 40.74520926),club
Poe Cottage,Bronx,8/19/80,90NR00047,-73.8946132,40.86481128,POINT (-73.8946132037 40.8648112798),cottage
Fort Tompkins Quadrangle,Richmond,7/30/74,90NR01029,-74.05660684,40.60503557,POINT (-74.0566068426 40.6050355674),district
"Casemate Fort, Whiting Quadrangle",Kings,8/7/74,90NR01295,-74.03253277,40.60867621,POINT (-74.0325327737 40.6086762111),district
Fort Tryon Park And The Cloisters,New York,12/19/78,90NR00947,-73.93220078,40.86237803,POINT (-73.9322007849 40.8623780264),district
"New York Public Library, Fort Washington Branch",New York,8/27/20,20NR00052,-73.93384522,40.84790011,POINT (-73.9338452202 40.8479001117),district
Fort Wadsworth,Richmond,,98NR01405,-74.05692758,40.6025256,POINT (-74.0569275762 40.6025256023),district
Fort Schuyler,Bronx,6/29/76,90NR00044,-73.79261125,40.80565577,POINT (-73.7926112468 40.805655767),district
Fort Jay,New York,3/27/74,90NR00640,-74.01599718,40.69138658,POINT (-74.0159971842 40.691386579),district
City & Suburban Homes Company's York Avenue Estate,New York,9/15/94,90NR03286,-73.94954816,40.77035762,POINT (-73.9495481594 40.7703576204),estate
City & Suburban Homes Company's First Avenue Estate Historic Dist,New York,8/1/86,90NR00803,-73.95834375,40.7625893,POINT (-73.9583437539 40.7625892998),estate
Radio City Music Hall,New York,5/8/78,90NR00704,-73.97928331,40.75983455,POINT (-73.9792833062 40.7598345536),hall
New Brighton Village Hall,Richmond,12/15/78,90NR01045,-74.09590868,40.6431091,POINT (-74.095908678 40.6431090976),hall
Odd Fellows Hall,New York,9/22/83,90NR00855,-73.99843217,40.7194854,POINT (-73.998432173 40.7194853988),hall
"Milbank, Brinckerhoff, and Fiske Halls",New York,11/15/03,03NR05120,-73.96286612,40.81042658,POINT (-73.9628661237 40.810426578),hall
Edgewater Village Hall and Tappen Park,Richmond,5/19/80,90NR01024,-74.07673844,40.62683556,POINT (-74.0767384403 40.6268355572),hall
Brooklyn Borough Hall,Kings,1/10/80,90NR01259,-73.99019947,40.69273854,POINT (-73.9901994719 40.6927385382),hall
Prospect Hall,Kings,4/15/99,98NR01397,-73.98937984,40.66390299,POINT (-73.9893798364 40.6639029948),hall
Brooks and Hewitt Halls,New York,11/15/03,03NR05121,-73.96440663,40.8086219,POINT (-73.9644066338 40.8086219022),hall
"Founder's Hall, The Rockefeller University",New York,5/30/74,90NR00840,-73.95520226,40.76248885,POINT (-73.9552022627 40.7624888504),hall
Firemen's Hall,Queens,8/31/00,00NR01654,-73.84505989,40.78579873,POINT (-73.845059894 40.7857987295),hall
Philosophy Hall,New York,7/31/03,03NR05188,-73.96094445,40.80744895,POINT (-73.9609444467 40.8074489549),hall
Town Hall,New York,4/23/80,90NR00683,-73.98438194,40.75609831,POINT (-73.9843819426 40.7560983119),hall
Flushing Town Hall,Queens,3/16/72,90NR01566,-73.83001381,40.7639075,POINT (-73.8300138146 40.7639075002),hall
BOHEMIAN HALL AND PARK,Queens,3/23/01,00NR01724,-73.91579925,40.77296047,POINT (-73.915799251 40.7729604734),hall
Flatbush Town Hall,Kings,7/24/72,90NR01294,-73.95693179,40.64895663,POINT (-73.9569317873 40.6489566316),hall
Staten Island Borough Hall and Richmond County Courthouse,Richmond,10/6/83,90NR01036,-74.0761632,40.64268019,POINT (-74.076163196 40.6426801926),hall
City Hall,New York,10/15/66,90NR00867,-74.00599652,40.71275389,POINT (-74.0059965159 40.7127538917),hall
"Earl Hall, Columbia University",New York,3/12/18,17NR00105,-73.96265654,40.80859014,POINT (-73.9626565395 40.8085901405),hall
Carnegie Hall,New York,10/15/66,90NR00864,-73.97992122,40.76501748,POINT (-73.9799212161 40.7650174762),hall
Students' Hall,New York,11/15/03,03NR05122,-73.96383426,40.80910271,POINT (-73.9638342551 40.8091027061),hall
Hall of Fame Complex,Bronx,9/7/79,90NR00050,-73.91397902,40.85875123,POINT (-73.9139790244 40.8587512301),hall
Federal Hall National Memorial,New York,10/15/66,90NR00869,-74.01026903,40.70732705,POINT (-74.0102690274 40.7073270466),hall
Surrogate's Court (Hall of Records),New York,1/29/72,90NR00613,-74.00423928,40.71360442,POINT (-74.0042392846 40.7136044198),hall
Wyckoff-Bennett Homestead,Kings,12/24/74,90NR01351,-73.95109453,40.61079379,POINT (-73.9510945301 40.6107937869),homestead
Kingsland Homestead,Queens,5/31/72,90NR01578,-73.82402146,40.76373114,POINT (-73.8240214623 40.7637311381),homestead
"Austen, Elizabeth Alice, House",Richmond,7/28/70,90NR01027,-74.06309449,40.61521892,POINT (-74.0630944864 40.6152189212),house
Merchants Refrigerating Company Warehouse,New York,5/31/85,90NR00733,-74.00769196,40.74406592,POINT (-74.0076919584 40.7440659193),house
Lighthouse,New York,3/16/72,90NR00630,-73.94018196,40.7728368,POINT (-73.9401819596 40.7728368007),house
Congregation B'nai Jeshurun and Community House,New York,6/2/89,90NR00735,-73.97608531,40.79024802,POINT (-73.9760853074 40.7902480156),house
LILAC (United States Lighthouse Tender),New York,1/7/05,04NR05295,-74.01206259,40.73058575,POINT (-74.0120625893 40.7305857494),house
Lescaze House,New York,5/19/80,90NR00723,-73.97084675,40.75447472,POINT (-73.9708467468 40.7544747177),house
New York Cotton Exchange (India House),New York,1/7/72,90NR00949,-74.00983533,40.70452005,POINT (-74.0098353252 40.7045200534),house
Sofia Warehouse,New York,9/27/84,90NR00858,-73.98333977,40.77050742,POINT (-73.9833397747 40.7705074221),house
"East 92nd Street, Houses at 120 and 122",New York,10/29/82,90NR00889,-73.95362453,40.78341907,POINT (-73.9536245318 40.7834190693),house
"East 78th Street, Houses at 208-218",New York,6/30/83,90NR00771,-73.95727594,40.77314049,POINT (-73.9572759427 40.7731404859),house
"Roosevelt, Sara Delano, Memorial House",New York,3/28/80,90NR00646,-73.96762325,40.76715928,POINT (-73.9676232484 40.7671592766),house
"Fish, Hamilton, House (Stuyvesant-Fish House)",New York,7/31/72,90NR00801,-73.9885534,40.7301251,POINT (-73.9885534025 40.730125102),house
Lever House,New York,10/2/83,90NR00861,-73.97287237,40.75959941,POINT (-73.9728723687 40.7595994056),house
"Smith, Alfred E., House",New York,,90NR00919,-73.99812381,40.71231809,POINT (-73.998123811 40.7123180922),house
"Firehouse, Engine Company 33",New York,3/16/72,90NR00629,-73.99250609,40.72700017,POINT (-73.9925060895 40.7270001699),house
Villard Houses,New York,9/2/75,90NR00821,-73.97493042,40.75799447,POINT (-73.9749304153 40.7579944677),house
Seguine House,Richmond,5/6/80,90NR01023,-74.19739231,40.51452858,POINT (-74.1973923061 40.5145285838),house
"Arthur, Chester A., House",New York,10/15/66,90NR00863,-73.98207416,40.74275587,POINT (-73.9820741598 40.7427558684),house
Croton Aqueduct Gate House,New York,9/22/83,90NR00854,-73.95150566,40.81843235,POINT (-73.9515056639 40.8184323472),house
Staten Island Lighthouse,Richmond,,93NR00440,-74.14126177,40.57611067,POINT (-74.1412617681 40.5761106687),house
"Van Nuyse, Joost, House",Kings,6/9/06,05NR05555,-73.94355304,40.62811288,POINT (-73.9435530386 40.6281128841),house
52nd Police Precinct Station House and Stable,Bronx,10/29/82,90NR00065,-73.87966808,40.8690128,POINT (-73.8796680832 40.8690128019),house
"Wyckoff, Pieter, House",Kings,12/24/67,90NR01350,-73.92056811,40.64466687,POINT (-73.920568114 40.6446668734),house
Admiral's House,New York,7/24/72,90NR00791,-74.01314598,40.6903376,POINT (-74.0131459827 40.6903375965),house
International House,New York,9/10/00,99NR01460,-73.96153602,40.81379288,POINT (-73.9615360215 40.8137928826),house
University Settlement House,New York,9/11/86,93NR00520,-73.99052002,40.72055118,POINT (-73.9905200186 40.7205511814),house
75th Police Precinct Station House,Kings,9/10/07,03NR05126,-73.89206788,40.67484228,POINT (-73.8920678785 40.6748422835),house
"Van Duzer Street, Houses at 364 and 390",Richmond,11/14/82,90NR01042,-74.08012684,40.62896268,POINT (-74.0801268397 40.6289626823),house
"McKay, Claude, House",New York,12/8/76,90NR00928,-73.943006,40.81471098,POINT (-73.9430060014 40.8147109833),house
"Fifth Avenue, Houses at 647 and 651-653, and 4 East 52nd Street",New York,9/8/83,90NR00834,-73.97605524,40.75946289,POINT (-73.9760552381 40.7594628893),house
"Bunche, Ralph, House",Queens,5/11/76,90NR01574,-73.83699204,40.70643948,POINT (-73.8369920418 40.706439481),house
Voorlezer's House,Richmond,10/15/66,90NR01038,-74.14754362,40.57150714,POINT (-74.1475436151 40.5715071407),house
Hamilton Park Community Houses,Richmond,9/29/83,90NR01034,-74.09060066,40.64201226,POINT (-74.0906006605 40.6420122613),house
"Loew, William Goadby, House",New York,7/15/82,90NR00782,-73.95522456,40.78491114,POINT (-73.9552245571 40.784911144),house
House at 20 West 16th Street,New York,5/30/07,06NR05677,-73.99428136,40.73776864,POINT (-73.9942813554 40.737768644),house
"Dyckman, William, House",New York,12/24/67,90NR00955,-73.92286596,40.86746785,POINT (-73.922865956 40.8674678529),house
"Tilden, Samuel J., House",New York,5/11/76,90NR00710,-73.98686777,40.73758518,POINT (-73.9868677696 40.7375851774),house
"Van Cortlandt, Frederick, House",Bronx,12/24/67,90NR00073,-73.89130034,40.89461363,POINT (-73.8913003373 40.8946136335),house
"Smith, Fleming, Warehouse",New York,5/26/83,90NR00729,-74.00997112,40.72399471,POINT (-74.0099711218 40.7239947074),house
Harlem River Houses,New York,12/18/79,90NR00946,-73.93621212,40.82613702,POINT (-73.9362121202 40.8261370227),house
"East 89th Street, Houses at 146-156",New York,6/3/82,90NR00747,-73.95377519,40.78102269,POINT (-73.953775191 40.781022694),house
"Hopper, Isaac T., House",New York,5/22/86,90NR00725,-73.98798434,40.72755497,POINT (-73.9879843423 40.7275549672),house
Schinasi House,New York,4/23/80,90NR00680,-73.96923024,40.80298843,POINT (-73.9692302383 40.8029884328),house
"Norwood, Andrew S., House",New York,7/9/79,90NR00777,-74.00124001,40.73952427,POINT (-74.0012400066 40.7395242738),house
Christodora House,New York,3/20/86,90NR00636,-73.97998808,40.72633527,POINT (-73.9799880777 40.7263352691),house
Billou-Stillwell-Perine House,Richmond,1/1/76,90NR01012,-74.09992156,40.59331657,POINT (-74.0999215575 40.5933165733),house
Long Island City Courthouse Complex,Queens,9/26/83,90NR01592,-73.94293205,40.74568919,POINT (-73.9429320485 40.7456891871),house
State Street Houses,Kings,1/17/80,90NR01260,-73.98766721,40.68869952,POINT (-73.9876672127 40.6886995208),house
"Sullivan Street, Houses at 83 and 85",New York,11/17/80,90NR00916,-74.00345723,40.72478267,POINT (-74.0034572301 40.7247826695),house
Old Stone House of Brooklyn,Kings,9/19/12,11NR06264,-73.98457446,40.67300194,POINT (-73.9845744623 40.6730019366),house
"49 East 80th Street, House at",New York,11/15/07,07NR05765,-73.96102581,40.7770061,POINT (-73.9610258134 40.7770060999),house
"Block House, The",New York,7/24/72,90NR00792,-74.01385507,40.68894427,POINT (-74.0138550705 40.6889442663),house
"Lott, Hendrick I., House",Kings,3/3/94,93NR00463,-73.93264651,40.61033765,POINT (-73.9326465101 40.6103376482),house
Bronx County Courthouse,Bronx,9/8/83,90NR00051,-73.92379793,40.82630019,POINT (-73.9237979293 40.8263001862),house
"East 4th St., House at 37",New York,1/3/80,90NR00602,-73.99201742,40.72754672,POINT (-73.992017423 40.7275467157),house
Control House on 72nd Street,New York,5/6/80,90NR00695,-73.98194078,40.77852848,POINT (-73.9819407789 40.7785284819),house
Kreischer House,Richmond,10/29/82,90NR00894,-74.23778467,40.53258393,POINT (-74.2377846746 40.5325839315),house
Mott Avenue Control House,Bronx,5/6/80,90NR00040,-73.9276288,40.81848405,POINT (-73.9276288012 40.8184840457),house
"Storehouse #2, US Navy Fleet Supply Base",Kings,2/20/13,12NR06399,-74.00458735,40.65937447,POINT (-74.0045873467 40.6593744682),house
Moore-McMillen House,Richmond,4/23/80,90NR01022,-74.1387298,40.57310073,POINT (-74.1387297973 40.5731007278),house
"Schickel, William, House",New York,12/6/04,04NR05238,-73.95969418,40.77810346,POINT (-73.9596941841 40.7781034631),house
Poillon-Sequine-Britton House,Richmond,2/2/84,90NR01015,-74.13988265,40.54561531,POINT (-74.1398826476 40.5456153056),house
Appellate Division Courthouse of New York State,New York,7/26/82,90NR00798,-73.98656472,40.74220019,POINT (-73.9865647184 40.7422001885),house
"Cronyn, William B., House",Kings,6/3/81,90NR01284,-73.98737835,40.67001801,POINT (-73.9873783468 40.670018006),house
Henry Street Settlement and Neighborhood Playhouse,New York,5/30/74,90NR00841,-73.98379227,40.71509233,POINT (-73.983792274 40.715092326),house
"Van Rensselar, Stephen, House",New York,6/16/83,90NR00757,-73.99769415,40.71909601,POINT (-73.997694154 40.7190960119),house
"Mills, Florence, House",New York,12/8/76,90NR00929,-73.94466723,40.81541584,POINT (-73.9446672343 40.8154158438),house
Stoothoff-Baxter-Kouwenhaven House,Kings,11/14/82,90NR01335,-73.92929945,40.62052818,POINT (-73.9292994538 40.62052818),house
Saitta House,Kings,5/30/07,06NR05678,-74.0160333,40.61752336,POINT (-74.016033301 40.6175233626),house
LaTourette House,Richmond,3/5/82,90NR01017,-74.14674032,40.57593287,POINT (-74.14674032 40.5759328732),house
"Watson, James, House",New York,7/24/72,90NR00796,-74.01367964,40.70261855,POINT (-74.0136796412 40.7026185458),house
Old Merchant's House (Seabury-Tredwell House),New York,10/15/66,90NR00875,-73.99227369,40.72775092,POINT (-73.9922736854 40.7277509222),house
Lefferts-Laidlaw House,Kings,9/12/85,90NR01305,-73.96931395,40.69385888,POINT (-73.9693139532 40.693858875),house
"Cook, Will Marion, House",New York,5/11/76,90NR00706,-73.94322998,40.81787398,POINT (-73.9432299792 40.8178739831),house
Park Avenue Houses,New York,1/3/80,90NR00603,-73.96583571,40.76899799,POINT (-73.9658357052 40.7689979882),house
"Brown, James, House",New York,8/11/83,90NR00806,-74.00949521,40.72585357,POINT (-74.0094952051 40.7258535684),house
Minton's Playhouse,New York,9/18/85,90NR00851,-73.95241026,40.80465405,POINT (-73.9524102611 40.8046540526),house
First Houses,New York,12/18/79,90NR00945,-73.98618479,40.72374286,POINT (-73.986184794 40.7237428633),house
Gardiner-Tyler House,Richmond,11/23/84,90NR01044,-74.11220669,40.62360164,POINT (-74.1122066891 40.6236016392),house
45th Road - Court House Square Station (Dual System IRT),Queens,3/30/05,04NR05311,-73.94527771,40.74699866,POINT (-73.9452777078 40.7469986643),house
Conference House,Richmond,10/15/66,90NR01037,-74.25345924,40.50291007,POINT (-74.2534592415 40.5029100653),house
Atlantic Avenue Control House,Kings,5/6/80,90NR01275,-73.97799209,40.68444739,POINT (-73.9779920867 40.6844473899),house
"Williams, R. C., Warehouse",New York,2/24/05,04NR05361,-74.00331609,40.74941887,POINT (-74.0033160931 40.7494188654),house
